target,projectile,energy,yield
C,Xe,321.0694243,0.004159916
C,Xe,528.8276313,0.034782942
C,Xe,204.2180933,0.041949342
C,Xe,305.1937207,0.082682786
C,Xe,406.6641078,0.130510498
C,Xe,608.0963109,0.203424624
C,Xe,608.0023031,0.216385273
C,Xe,1066.864642,0.188664757
C,Xe,2124.997283,0.531731505
C,Xe,3090.072223,0.579291414
C,Xe,3088.448325,0.714659709
C,Xe,5333.69977,1.141439132
C,Xe,10496.39974,1.258172781
C,Xe,10492.50574,1.459211736
C,Xe,37170.70417,5.130383292
C,Xe,45473.36109,5.387920153
C,Xe,10796.61204,1.610683247
C,Hg,417.5455997,0.002959646
C,Hg,516.2934881,0.009539133
C,Hg,1034.879947,0.093089977
C,Hg,2106.661932,0.343054551
C,Hg,49.89012893,0.010096758
C,Hg,149.2446444,0.030889115
C,Hg,299.5951274,0.091185436
C,Hg,403.9615204,0.119476245
C,Hg,499.9694986,0.179326161
C,Hg,4948.565255,0.725645273
C,Hg,5237.442198,0.894646879
C,Hg,10080.96711,1.47987249
C,Hg,10520.43024,1.573734153
C,Hg,9795.946527,1.715948042
C,Hg,15234.18491,1.914555818
C,Hg,13784.66487,2.332709251
C,Hg,25073.3351,2.732871635
C,Hg,20252.68974,2.301286089
C,Hg,18066.39726,2.80403266
C,Hg,19959.4609,3.018310927
C,Hg,23678.46388,3.329294272
C,Hg,28090.42061,3.672318928
C,Hg,33328.00652,3.715824691
C,Hg,35787.40255,3.854924316
C,Hg,42462.71664,3.712934773
C,Hg,47583.16152,4.147041417
C,Hg,54093.68713,4.145333598
C,Hg,63268.80921,4.352654632
C,Hg,74005.81804,4.297166977
C,Hg,86560.9851,4.402205087
C,Hg,98407.62075,4.293235426
Al,H,53.08844442,0.001204968
Al,H,205.3525026,0.002957516
Al,H,311.7094724,0.006044549
Al,H,515.8221651,0.006747245
Al,H,1044.119003,0.009059148
Al,H,8293.732045,0.002691352
Al,H,4156.71262,0.011418873
Al,H,2144.124503,0.011019512
Al,H,2083.291299,0.015761655
Al,H,1074.607828,0.015210411
Al,H,538.5797247,0.016813436
Al,H,214.4124503,0.014349811
Al,H,107.4607828,0.007850467
Al,D,70.8046532,0.002236512
Al,D,100.6152406,0.006704458
Al,D,51.79866319,0.013063568
Al,D,104.7719229,0.030209935
Al,D,209.0960951,0.039602936
Al,D,200.536489,0.025714605
Al,D,501.5573792,0.034543831
Al,D,523.1317231,0.0410561
Al,D,1001.122696,0.040027408
Al,D,1044.596326,0.034516678
Al,D,2000.778862,0.016654904
Al,D,1999.689938,0.025969789
Al,D,1999.478271,0.028312738
Al,D,2115.373795,0.030486669
Al,D,3053.465375,0.025639664
Al,D,5220.61684,0.021827045
Al,D,3469.35549,0.014354142
Al,D,5527.647341,0.012220604
Al,D,7435.590766,0.010152402
Al,D,9588.143474,0.008028388
Al,D,8097.350395,0.006196791
Al,D,20255.77946,0.007178748
Al,He,53.85565406,0.050424688
Al,He,106.4643359,0.092180481
Al,He,204.8671738,0.05097712
Al,He,309.2100791,0.078442251
Al,He,410.6195516,0.129988293
Al,He,207.5533361,0.133330076
Al,He,216.5784375,0.141799575
Al,He,213.4601433,0.17922341
Al,He,537.7555981,0.168344339
Al,He,507.9112177,0.205058687
Al,He,507.8339302,0.23195911
Al,He,619.7279208,0.207557758
Al,He,1079.131334,0.162111825
Al,He,2196.760832,0.143202626
Al,He,2045.936273,0.150451781
Al,He,2045.593818,0.172299461
Al,He,2074.560764,0.194899431
Al,He,3719.026594,0.089594233
Al,He,4110.209182,0.058914297
Al,He,5779.628384,0.072622071
Al,He,7791.165249,0.063393284
Al,He,9782.144387,0.056027887
Al,He,20781.05992,0.048884072
Al,He,10800.21778,0.083112131
Al,He,8244.699734,0.079136472
Al,He,5379.864224,0.118914474
Al,He,6200.128009,0.14304363
Al,He,6199.278892,0.159826378
Al,Ne,31.4132343,0.003719795
Al,Ne,100.2846459,0.03193529
Al,Ne,51.02300353,0.04191981
Al,Ne,102.1836144,0.214904204
Al,Ne,149.4158843,0.174212915
Al,Ne,198.2024379,0.233896257
Al,Ne,198.3218327,0.29913024
Al,Ne,210.0681431,0.483214832
Al,Ne,298.694623,0.426967495
Al,Ne,294.5948676,0.476962859
Al,Ne,396.2110199,0.566233922
Al,Ne,407.7204922,0.680922235
Al,Ne,503.793851,0.741812815
Al,Ne,511.1434257,0.870412934
Al,Ne,596.6657666,0.769419108
Al,Ne,687.1857667,0.880628176
Al,Ne,769.5141008,1.045860826
Al,Ne,1034.666209,1.111497644
Al,Ne,1006.064469,1.182072086
Al,Ne,2094.643214,1.490936567
Al,Ne,5235.329571,1.543955344
Al,Ne,10296.74932,1.541725483
Al,Ne,21122.12214,1.429845202
Al,Al,32.06194202,0.002279017
Al,Al,30.37450701,0.02065342
Al,Al,52.86767295,0.032154956
Al,Al,50.68265768,0.043747916
Al,Al,40.38460696,0.043758545
Al,Al,75.48971099,0.092677758
Al,Al,61.88159445,0.090442521
